arch,n_params,accuracy,precision,recall,f1,train_s,infer_us,success,latency_ms,deadline_miss,contact_break
1 hidden layer (32),416,93.96,86.81164503682919,96.98275862068965,91.61576901721266,2.1355817317962646,0.23066202799479169,90.77499999999999,87.66745490790703,4.75,2.6999999999999997
2 hidden layers (64-32),2848,94.06666666666666,86.82278923453339,97.33542319749216,91.77905043414003,1.8952114582061768,0.780328114827474,90.75833333333333,87.75949885584184,4.75,2.6999999999999997
3 hidden layers (64-32-16),3344,94.32000000000001,86.70580110497238,98.3934169278997,92.18061674008811,2.10678768157959,0.6433804829915364,90.76666666666665,87.86030012330411,4.75,2.716666666666667
4 hidden layers (128-64-32-16),12304,94.32000000000001,86.32946001367054,98.98119122257053,92.22343921139102,4.068567514419556,4.869715372721354,90.74166666666667,87.51915690134649,4.758333333333333,2.7583333333333333
