regime,eta_lambda,budget_ms,kappa,success,latency_ms,deadline_miss,contact_break,silent_corruption,utility
"Sparse / high speed (30 veh, 60 km/h)",0.05,8.0,0.8,94.25,79.67829670348269,2.65,0.8666666666666667,0.025000000000000005,91.0253681318607
"Medium (60 veh, 40 km/h)",0.05,8.0,0.8,92.95,89.04981758738614,4.841666666666666,0.975,0.11666666666666665,89.21300729650456
"Dense / congested (120 veh, 25 km/h)",0.05,8.0,0.8,86.27499999999999,96.55577504998128,13.025,0.4916666666666667,0.08333333333333333,82.28776899800074
