variant,policy,success,success_sd,latency_ms,energy_j,deadline_miss,contact_break,silent_corruption,trust_fail,jain,zkp_rate,zkp_overhead_ms
Proposed (full framework),full,92.30499999999999,0.9069385315444448,88.70354981378992,1.0239048287278483,5.110000000000001,1.365,0.095,1.7275000000000003,0.9933830696342023,47.660000000000004,2.883682144359539
w/o Module I (no feasibility mask),no_mask,89.74749999999999,1.0853398085392423,88.22808988207305,1.014279625277681,7.81,2.4475,0.015,0.35000000000000003,0.9918111931604701,46.13250000000001,2.7906585008103204
w/o Module II (never verify),never_zkp,93.03,0.8794387414709456,86.00701726899993,1.0202155679773894,4.319999999999999,1.125,1.9925000000000002,1.9925000000000002,0.9919763616337608,0.0,0.0
w/o Module II (always verify),always_zkp,89.8275,1.4322491054282436,91.32143626606025,1.0187007099285523,7.85,1.2875,0.0,1.59,0.9919672696605486,100.0,6.034834177263898
w/o Module III (no Lagrangian duals),no_dual,83.82250000000002,4.215799153185548,86.94415200792045,0.967901338293332,4.7075,2.075,0.6325000000000001,10.872499999999999,0.9862481851403849,60.347500000000004,3.644272626546628
w/o Modules I+III (unconstrained RL),unconstrained,75.99000000000001,3.9225581576313195,83.67713313135495,0.90884566845079,7.32,8.967500000000001,1.0875,11.617500000000001,0.984959711638643,63.42999999999999,3.848333255034214
